,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,需調整的班別,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"班次
代碼","班次名稱
 (10字以內)","上班
時間","下班
時間","休息
時間1(起)","休息
時間1(迄)",備註,"刪除
班別",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,"使用
時數",,,"班次
代碼","班次名稱
 (10字以內)","上班
時間","下班
時間","休息
時間1(起)","休息
時間1(迄)",備註,,,,,,,,,,,,,
,正職,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B001,0800-1700,08:00,17:00,12:00,13:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B002,0900-1800,09:00,18:00,13:00,14:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B003,1000-1900,10:00,19:00,14:00,15:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B004,1100-2000,11:00,20:00,15:00,16:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B005,1130-2030,11:30,20:30,15:30,16:30,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B006,1200-2100,12:00,21:00,16:00,17:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B007,1300-2200,13:00,22:00,17:00,18:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B008,1400-2300,14:00,23:00,18:00,19:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B009,1500-0000,15:00,00:00,19:00,20:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B010,1600-0100,16:00,01:00,20:00,21:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B011,1700-0200,17:00,02:00,21:00,22:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B012,1800-0300,18:00,03:00,22:00,23:00,休1H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B101,0800-1800T,08:00,18:00,12:00,14:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B102,0900-1900T,09:00,19:00,13:00,15:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B103,1000-2000T,10:00,20:00,14:00,16:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B104,1100-2100T,11:00,21:00,15:00,17:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B105,1130-2130T,11:30,21:30,16:00,18:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B106,1200-2200T,12:00,22:00,17:00,19:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B107,1300-2300T,13:00,23:00,18:00,20:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B108,1400-0000T,14:00,00:00,19:00,21:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B109,1500-0100T,15:00,01:00,20:00,22:00,休2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,兼職,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C001,0800-1400A,08:00,14:00,12:00,12:30,休0.5H,,,7,6.5,7,6.5,12,,6.5,,7,6.5,,,12,,6.5,7,6.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C002,1000-1700B,10:00,17:00,13:30,14:30,休1H,,8,8,,,,,,,,,,,,,,,,8,,8,,,8,,,,16,8,16,8,,,,,,,,,,,,,,,,,,,,,,,,
,C003,1100-1500,11:00,15:00,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,C005,1100-2100D,11:00,21:00,15:00,17:00,休2H,,,8,8,8,8,8,,8,,,16,8,32,8,,,,,,24,24,,,,,8,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,
,C007,1200-2200D,12:00,22:00,16:00,18:00,休2H,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
